slavery-reparation.en.3		slavery-reparation.en.4
2		1,2,3
4		4
6		6
7		7
8		8
9		9
12		11
13		10
14		12
15		13
16		14
17		15
18		16
19		17
20		18
22		20
23		21
24		22
25		23
26		24
